"BFISH","MISSION_ID","DROP_CD","VIDEO_FRAME","TIME_FROM_TOUCHDOWN_MIN","SPECIES_CD","SCIENTIFIC_NAME","COMMON_NAME","MAXN","DATA_TYPE","SEQUENCE_NR","CREATE_DTM","CREATED_BY","LAST_MOD_DTM","LAST_MOD_BY"
"BFISH_2018_F","SE1806","20181029_203422",3694,0.1556,"SESP","Seriola sp.","Amberjack sp.",NA,"non-target","00000382",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_203422",4481,1.2486,"DASY","Dasyatis sp.","Stingray sp.",NA,"non-target","00000383",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_203422",4641,1.4708,"PRFI","Pristipomoides filamentosus","Opakapaka",7,"MaxN","00000384",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_204453",5346,1.9125,"SERI","Seriola rivoliana","Almaco jack",NA,"non-target","00000385",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_205609",15223,15,"NONE","No Fish in Drop","NONE",NA,NA,"00000386",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_210724",14954,15,"NONE","No Fish in Drop","NONE",NA,NA,"00000387",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_213703",17028,15,"NONE","No Fish in Drop","NONE",NA,NA,"00000388",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_214923",15984,15,"NONE","No Fish in Drop","NONE",NA,NA,"00000389",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_215728",16447,15,"NONE","No Fish in Drop","NONE",NA,NA,"00000390",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_221056",16062,15,"NONE","No Fish in Drop","NONE",NA,NA,"00000391",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_221644",2944,0.1833,"ACBL","Acanthurus blochii","Ringtail surgeonfish",NA,"non-target","00000392",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_221644",2964,0.2111,"HEDI","Heniochus diphreutus","False moorish idol",NA,"non-target","00000393",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_221644",2998,0.2583,"NASP","Naso sp.","unicornfish sp.",NA,"non-target","00000394",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_221644",3158,0.4806,"APVI","Aprion virescens","Green jobfish",NA,"non-target","00000395",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_221644",3516,0.9778,"SUFR","Sufflamen fraenatum","Bridled Triggerfish",NA,"non-target","00000396",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_221644",6198,4.7028,"XACA","Xanthichthys caeruleolineatus","Bluelined triggerfish",NA,"non-target","00000397",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_221644",8313,7.6403,"CAIG","Caranx ignobilis","Giant trevally",NA,"non-target","00000398",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_221644",9480,9.2611,"SEDU","Seriola dumerili","Greater amberjack",NA,"non-target","00000399",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_223242",2859,0.1264,"SEDU","Seriola dumerili","Greater amberjack",NA,"non-target","00000400",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_223242",2926,0.2194,"SERI","Seriola rivoliana","Almaco jack",NA,"non-target","00000401",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_223242",2955,0.2597,"NASP","Naso sp.","unicornfish sp.",NA,"non-target","00000402",NA,NA,NA,NA
