"YEAR","BFISH","PSU","STRATA_2020","SAMPLE_DEPTH_M","SPECIES_CD","abund","uabund"
2019,"BFISH_2019_F",19465,"S15",204.5208,"PRFI",0,0
2021,"BFISH_2021_F",44049,"S13",177.0888,"PRFI",0,0
2021,"BFISH_2021_F",36542,"S11",149.9616,"PRFI",0,0
2021,"BFISH_2021_F",1655,"S16",193.8528,"PRFI",0,0
2020,"BFISH_2020_F",40059,"S14",203.9112,"PRFI",0,0
2020,"BFISH_2020_F",11574,"S22",242.6208,"PRFI",0,0
2020,"BFISH_2020_F",9714,"S07",152.2476,"PRFI",0,0
2020,"BFISH_2020_F",42125,"S15",171.6024,"PRFI",0,0
2021,"BFISH_2021_F",6635,"S12",143.8656,"PRFI",0,0
2021,"BFISH_2021_F",21779,"S16",200.8632,"PRFI",0,0
2019,"BFISH_2019_F",9762,"S13",206.97,"PRFI",0,0
2021,"BFISH_2021_F",6924,"S21",250.317,"PRFI",0,0
2019,"BFISH_2019_F",15737,"S15",174.9075,"PRFI",0,0
2020,"BFISH_2020_F",38250,"S17",223.5708,"PRFI",0,0
2021,"BFISH_2021_F",26703,"S14",217.6272,"PRFI",0,0
2019,"BFISH_2019_F",41362,"S14",189.0522,"PRFI",2.89100896212778,0
2021,"BFISH_2021_F",38641,"S11",145.4,"PRFI",0,0
2020,"BFISH_2020_F",42030,"S14",182.5752,"PRFI",0,0
2019,"BFISH_2019_F",33380,"S15",180.69,"PRFI",0,0
2019,"BFISH_2019_F",45360,"S07",132.0225,"PRFI",0,0
2020,"BFISH_2020_F",42851,"S14",193.6242,"PRFI",0,0
2021,"BFISH_2021_F",1073,"S10",117.9576,"PRFI",5.78201792425556,0
2019,"BFISH_2019_F",33384,"S09",134.1275,"PRFI",0.5,0
2019,"BFISH_2019_F",38069,"S15",219.456,"PRFI",0,0
2019,"BFISH_2019_F",12668,"S13",210.585,"PRFI",0,0
2020,"BFISH_2020_F",15101,"S11",115.6716,"PRFI",0,0
2021,"BFISH_2021_F",117,"S10",122.9868,"PRFI",0,0
2019,"BFISH_2019_F",12801,"S13",211.22,"PRFI",0,0
2019,"BFISH_2019_F",5382,"S04",81.085,"PRFI",0,0
2021,"BFISH_2021_F",39342,"S08",123.9012,"PRFI",0,0
2019,"BFISH_2019_F",29782,"S16",190.6524,"PRFI",0,0
2021,"BFISH_2021_F",22088,"S01",106.9848,"PRFI",0,0
2021,"BFISH_2021_F",41806,"S11",136.5504,"PRFI",0,0
2021,"BFISH_2021_F",9518,"S12",164.1348,"PRFI",0,0
2021,"BFISH_2021_F",37413,"S02",96.012,"PRFI",0,0
2020,"BFISH_2020_F",5584,"S08",136.5504,"PRFI",0,0
2021,"BFISH_2021_F",33740,"S05",130.7592,"PRFI",0,0
2019,"BFISH_2019_F",42003,"S01",84.9725,"PRFI",0,0
2020,"BFISH_2020_F",14307,"S15",170.0784,"PRFI",0,0
2021,"BFISH_2021_F",24410,"S05",138.9888,"PRFI",0,0
2021,"BFISH_2021_F",3483,"S05",127.2,"PRFI",1,0
2021,"BFISH_2021_F",13225,"S10",143.5608,"PRFI",0,0
2019,"BFISH_2019_F",1750,"S12",169.6212,"PRFI",0,0
2021,"BFISH_2021_F",6636,"S11",127.7112,"PRFI",0,0
2019,"BFISH_2019_F",16217,"S02",93.565,"PRFI",0,0
2020,"BFISH_2020_F",29711,"S18",231.3432,"PRFI",0,0
2019,"BFISH_2019_F",30542,"S17",243.6325,"PRFI",0,0
2021,"BFISH_2021_F",26207,"S01",109.55,"PRFI",0,0
2019,"BFISH_2019_F",24055,"S01",107.345,"PRFI",0,0
2020,"BFISH_2020_F",32337,"S05",125.735,"PRFI",0,0
2020,"BFISH_2020_F",33021,"S05",127.1016,"PRFI",0,0
2021,"BFISH_2021_F",14197,"S10",144.7,"PRFI",0,0
2021,"BFISH_2021_F",6876,"S11",142.3416,"PRFI",0,0
2020,"BFISH_2020_F",31998,"S01",99.2124,"PRFI",0,0
2020,"BFISH_2020_F",3487,"S09",118.872,"PRFI",0,0
2019,"BFISH_2019_F",2008,"S20",255.84912,"PRFI",0,0
2019,"BFISH_2019_F",31222,"S17",246.4308,"PRFI",0,0
2020,"BFISH_2020_F",1765,"S15",210.9216,"PRFI",0,0
2021,"BFISH_2021_F",38185,"S07",137.16,"PRFI",0,0
2019,"BFISH_2019_F",36958,"S10",124.63272,"PRFI",11.5640358485111,0
2021,"BFISH_2021_F",31664,"S01",108.15,"PRFI",0,0
2021,"BFISH_2021_F",44622,"S16",218.8464,"PRFI",0,0
2019,"BFISH_2019_F",5669,"S04",83.5975,"PRFI",4.5,0
2021,"BFISH_2021_F",40012,"S21",244.3734,"PRFI",0,0
2021,"BFISH_2021_F",33255,"S01",104.2416,"PRFI",0,0
2021,"BFISH_2021_F",7412,"S10",117.0432,"PRFI",0,0
2021,"BFISH_2021_F",42036,"S13",213.36,"PRFI",0,0
